"YEAR","MONTH","DAY","STID","TAVG","HAVG","RAIN"
1998,1,1,GOOD,37.91,75.69,0.01
1998,1,1,MIAM,46.99,50.56,0.00
1998,1,1,TIPT,47.96,-996.00,0.00
1998,1,1,WIST,46.31,47.03,0.00
1998,1,2,GOOD,43.27,68.29,0.00
1998,1,2,MIAM,58.70,77.21,0.00
1998,1,2,TIPT,58.68,-996.00,0.00
1998,1,2,WIST,60.50,74.46,0.00
1998,1,3,GOOD,38.81,80.70,0.00
1998,1,3,MIAM,62.24,80.25,0.00
1998,1,3,TIPT,59.67,-996.00,1.00
1998,1,3,WIST,64.10,74.99,-999.00
1998,1,4,GOOD,29.73,97.48,0.07
1998,1,4,MIAM,42.81,96.87,0.96
1998,1,4,TIPT,40.36,-996.00,0.31
1998,1,4,WIST,59.51,-996.00,-999.00
1998,1,5,GOOD,37.34,82.84,0.00
1998,1,5,MIAM,46.48,97.67,0.35
1998,1,5,TIPT,43.96,-996.00,0.01
1998,1,5,WIST,58.02,-996.00,-999.00
1998,1,6,GOOD,30.32,93.02,0.00
1998,1,6,MIAM,45.52,96.93,0.62
1998,1,6,TIPT,42.95,-996.00,0.00
1998,1,6,WIST,54.82,91.79,-999.00
1998,1,7,GOOD,30.56,67.91,0.00
1998,1,7,MIAM,35.69,94.81,0.50
1998,1,7,TIPT,33.43,87.35,0.33
1998,1,7,WIST,41.50,90.98,-999.00
1998,1,8,GOOD,30.15,52.39,0.00
1998,1,8,MIAM,33.96,95.42,0.67
1998,1,8,TIPT,35.96,79.61,0.00
1998,1,8,WIST,37.20,89.75,-999.00
1998,1,9,GOOD,22.75,77.54,0.00
1998,1,9,MIAM,32.65,95.45,0.15
1998,1,9,TIPT,35.25,89.12,0.01
1998,1,9,WIST,39.11,84.93,-999.00
1998,1,10,GOOD,22.07,84.50,0.00
1998,1,10,MIAM,25.44,90.42,0.00
1998,1,10,TIPT,30.42,90.41,0.00
1998,1,10,WIST,39.83,90.38,0.00
1998,1,11,GOOD,27.05,98.74,0.00
1998,1,11,MIAM,31.64,96.56,0.08
1998,1,11,TIPT,37.48,92.95,0.00
1998,1,11,WIST,41.15,95.45,0.01
1998,1,12,GOOD,25.46,98.43,0.01
1998,1,12,MIAM,33.21,96.53,0.02
1998,1,12,TIPT,41.72,87.48,0.01
1998,1,12,WIST,46.26,91.23,0.00
1998,1,13,GOOD,24.86,97.91,0.00
1998,1,13,MIAM,28.64,88.17,0.00
1998,1,13,TIPT,29.26,84.37,0.00
1998,1,13,WIST,39.15,88.90,0.00
1998,1,14,GOOD,33.00,75.57,0.01
1998,1,14,MIAM,33.70,92.53,0.03
1998,1,14,TIPT,33.43,88.73,0.00
1998,1,14,WIST,38.98,89.93,0.02
1998,1,15,GOOD,35.15,53.74,0.00
1998,1,15,MIAM,28.38,87.29,0.01
1998,1,15,TIPT,39.20,75.56,0.00
1998,1,15,WIST,33.71,80.69,0.00
1998,1,16,GOOD,37.26,52.79,0.00
1998,1,16,MIAM,32.71,82.18,0.00
1998,1,16,TIPT,42.36,68.61,0.00
1998,1,16,WIST,38.94,75.16,0.00
1998,1,17,GOOD,38.65,53.83,0.00
1998,1,17,MIAM,40.75,74.11,0.00
1998,1,17,TIPT,44.07,69.60,0.00
1998,1,17,WIST,43.91,68.82,0.00
1998,1,18,GOOD,38.42,59.90,0.00
1998,1,18,MIAM,38.55,79.98,0.00
1998,1,18,TIPT,43.45,69.66,0.00
1998,1,18,WIST,46.61,67.64,0.00
1998,1,19,GOOD,41.96,55.29,0.00
1998,1,19,MIAM,30.24,74.79,0.00
1998,1,19,TIPT,37.97,80.65,0.00
1998,1,19,WIST,38.40,71.21,0.00
1998,1,20,GOOD,40.89,48.73,0.00
1998,1,20,MIAM,43.34,74.50,0.00
1998,1,20,TIPT,48.59,67.49,0.00
1998,1,20,WIST,47.14,73.23,0.00
1998,1,21,GOOD,28.36,76.83,0.00
1998,1,21,MIAM,32.86,82.46,0.00
1998,1,21,TIPT,38.58,75.93,0.18
1998,1,21,WIST,46.00,73.69,0.18
1998,1,22,GOOD,33.07,63.70,0.00
1998,1,22,MIAM,29.62,81.91,0.00
1998,1,22,TIPT,35.42,76.66,0.00
1998,1,22,WIST,36.35,80.42,0.28
1998,1,23,GOOD,32.41,56.76,0.00
1998,1,23,MIAM,28.41,87.45,0.00
1998,1,23,TIPT,33.93,87.38,0.01
1998,1,23,WIST,33.96,78.49,0.00
1998,1,24,GOOD,38.01,47.66,0.00
1998,1,24,MIAM,31.73,71.53,0.00
1998,1,24,TIPT,40.61,68.97,0.00
1998,1,24,WIST,35.76,75.06,0.00
1998,1,25,GOOD,37.97,57.87,0.00
1998,1,25,MIAM,43.62,66.53,0.29
1998,1,25,TIPT,45.90,73.56,0.00
1998,1,25,WIST,39.48,78.68,0.24
1998,1,26,GOOD,40.87,45.28,0.00
1998,1,26,MIAM,42.19,90.00,0.05
1998,1,26,TIPT,45.55,69.71,0.00
1998,1,26,WIST,43.55,92.25,0.51
1998,1,27,GOOD,41.83,43.67,0.00
1998,1,27,MIAM,39.77,84.83,0.01
1998,1,27,TIPT,46.70,60.32,0.00
1998,1,27,WIST,40.18,86.32,0.00
1998,1,28,GOOD,46.79,34.79,0.00
1998,1,28,MIAM,47.72,71.11,0.00
1998,1,28,TIPT,49.54,58.11,0.00
1998,1,28,WIST,45.13,73.41,0.00
1998,1,29,GOOD,37.44,58.68,0.00
1998,1,29,MIAM,42.04,79.80,0.00
1998,1,29,TIPT,45.51,71.11,0.00
1998,1,29,WIST,42.93,75.41,0.00
1998,1,30,GOOD,46.05,56.55,0.00
1998,1,30,MIAM,42.64,69.89,0.00
1998,1,30,TIPT,48.70,71.00,0.00
