Note:,Water retention parameters were estimated using Rosetta3. The K0 and L parameters were estimated using Rosetta1 (model C2) run in a Windows98 inside a virtual machine,,,,,,,,,
Site_ID,theta_r[cm3/cm3],theta_s[cm3/cm3],alpha[1/kPa],n,m,Ks[cm/day],K0[cm/day],Uncertainty_K0,L,Uncertainty_L
ACME,0.068026,0.361484,0.192821,1.342445,0.255091,20.577366,1.9855,0.5067,-2.8878,2.2668
ADAX,0.080477,0.318012,0.060593,1.211863,0.174824,0.987846,1.0587,0.4902,-4.2145,2.2607
ALTU,0.117867,0.372425,0.072742,1.172831,0.147362,1.137145,0.9489,0.4375,-6.149,2.654
ALV2,0.115256,0.382015,0.130428,1.20444,0.169739,4.050876,1.369,0.4682,-5.5608,2.8427
ANT2,0.06629,0.342832,0.133266,1.299161,0.230273,8.752392,1.7057,0.4868,-3.1338,2.1802
ANTL,0.02696,0.275197,0.197991,1.383882,0.277395,22.683226,2.1549,0.8839,-2.0859,2.7852
APAC,0.083473,0.376526,0.086399,1.287466,0.223281,6.48616,1.4422,0.3972,-2.9979,1.8022
ARD2,0.126461,0.394753,0.097917,1.164274,0.141096,2.005872,1.0937,0.4459,-7.1905,3.0447
ARNE,0.0639,0.393781,0.194144,1.367241,0.2686,44.540023,2.1326,0.4467,-2.6047,2.0467
BEAV,0.081709,0.396137,0.246141,1.467376,0.318511,51.289365,2.271,0.4863,-2.2904,2.1142
BESS,,,,,,,,,,
BIXB,0.050579,0.364978,0.069926,1.436992,0.304102,17.568733,1.6056,0.3195,-1.6555,1.1778
BLAC,0.101473,0.378837,0.070099,1.239074,0.192946,2.784266,1.1631,0.4025,-3.6985,1.971
BOIS,0.136019,0.402966,0.119296,1.174574,0.148628,2.423911,1.197,0.446,-6.9287,3.0793
BOWL,0.092976,0.365573,0.076092,1.240269,0.193723,2.932233,1.2295,0.4224,-3.7433,2.054
BREC,0.142215,0.428026,0.082026,1.143062,0.125157,1.455636,0.9416,0.4059,-8.4653,3.2995
BRIS,0.055284,0.365108,0.075075,1.394358,0.282824,13.583821,1.5902,0.3397,-1.8892,1.3013
BROK,0.083508,0.350358,0.079794,1.260747,0.20682,3.198782,1.3025,0.4378,-3.3858,2.0128
BUFF,0.072724,0.405989,0.142034,1.340487,0.254003,26.777085,1.9352,0.3998,-2.655,1.8271
